freq,psd_x,psd_y,psd_z,psd_xyz
115.2,5.695e+05,6.418e+02,4.378e+03,5.745e+05
116.7,4.804e+05,7.008e+02,4.600e+03,4.857e+05
118.2,3.612e+05,7.933e+02,4.908e+03,3.669e+05
119.7,3.599e+05,6.478e+02,4.103e+03,3.647e+05
121.2,5.149e+05,8.801e+02,4.547e+03,5.204e+05
122.7,5.937e+05,6.487e+02,4.381e+03,5.987e+05
124.2,5.960e+05,3.086e+02,3.902e+03,6.002e+05
125.7,5.809e+05,2.497e+02,3.914e+03,5.851e+05
127.2,5.704e+05,2.821e+02,3.871e+03,5.746e+05
128.7,5.817e+05,4.659e+02,3.703e+03,5.859e+05
130.2,5.916e+05,7.987e+02,3.204e+03,5.956e+05
131.7,5.336e+05,9.842e+02,2.488e+03,5.370e+05
133.2,2.040e+05,5.042e+02,1.060e+03,2.056e+05
134.7,3.811e+04,2.753e+02,3.586e+02,3.874e+04
136.2,3.716e+04,5.152e+02,3.436e+02,3.802e+04
137.7,4.154e+04,8.847e+02,4.442e+02,4.287e+04
139.2,4.926e+04,1.080e+03,5.101e+02,5.085e+04
140.7,6.022e+04,1.195e+03,5.909e+02,6.200e+04
142.2,6.621e+04,1.558e+03,7.897e+02,6.856e+04
143.7,6.437e+04,1.839e+03,9.896e+02,6.720e+04
145.2,5.772e+04,2.125e+03,1.098e+03,6.095e+04
146.7,5.250e+04,2.343e+03,1.168e+03,5.601e+04
148.2,4.446e+04,2.096e+03,1.131e+03,4.768e+04
149.7,3.634e+04,1.754e+03,1.114e+03,3.921e+04
151.2,3.022e+04,1.393e+03,1.252e+03,3.287e+04
152.7,2.544e+04,1.063e+03,1.611e+03,2.811e+04
154.2,2.267e+04,9.895e+02,1.645e+03,2.530e+04
155.7,2.040e+04,1.149e+03,1.350e+03,2.290e+04
157.2,1.898e+04,1.441e+03,1.137e+03,2.155e+04
158.7,1.704e+04,1.666e+03,1.090e+03,1.979e+04
160.1,1.426e+04,1.534e+03,1.057e+03,1.685e+04
161.6,1.218e+04,1.329e+03,9.378e+02,1.444e+04
163.1,1.095e+04,1.202e+03,8.841e+02,1.304e+04
164.6,9.444e+03,1.020e+03,8.691e+02,1.133e+04
166.1,7.959e+03,8.748e+02,8.854e+02,9.719e+03
167.6,6.977e+03,7.931e+02,9.355e+02,8.706e+03
169.1,6.436e+03,6.612e+02,1.032e+03,8.130e+03
170.6,5.705e+03,5.516e+02,1.012e+03,7.268e+03
172.1,4.769e+03,4.345e+02,9.112e+02,6.115e+03
173.6,4.153e+03,3.824e+02,8.589e+02,5.395e+03
175.1,4.015e+03,3.490e+02,8.302e+02,5.194e+03
176.6,3.679e+03,3.398e+02,8.380e+02,4.857e+03
178.1,2.913e+03,3.641e+02,7.381e+02,4.016e+03
179.6,2.705e+03,4.144e+02,6.577e+02,3.777e+03
181.1,2.474e+03,4.916e+02,6.613e+02,3.627e+03
182.6,2.582e+03,5.606e+02,6.838e+02,3.826e+03
184.1,2.557e+03,6.517e+02,7.315e+02,3.941e+03
185.6,2.294e+03,8.173e+02,8.042e+02,3.915e+03
187.1,2.164e+03,9.292e+02,8.266e+02,3.920e+03
188.6,2.081e+03,1.002e+03,8.093e+02,3.892e+03
190.1,2.221e+03,1.299e+03,8.948e+02,4.415e+03
191.6,2.416e+03,1.591e+03,9.980e+02,5.004e+03
193.1,2.373e+03,1.817e+03,1.008e+03,5.198e+03
194.6,2.294e+03,2.166e+03,1.060e+03,5.521e+03
196.1,2.491e+03,3.000e+03,1.073e+03,6.564e+03
197.6,3.130e+03,4.550e+03,1.176e+03,8.857e+03
199.1,3.891e+03,6.266e+03,1.516e+03,1.167e+04
