freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.935e+02,1.096e+01,1.098e+01,7.154e+02
1.5,4.229e+02,3.712e+01,3.641e+01,4.964e+02
3.0,6.120e+01,4.043e+01,3.938e+01,1.410e+02
4.5,3.059e+02,4.496e+01,3.815e+01,3.890e+02
6.0,1.157e+03,4.601e+01,3.890e+01,1.242e+03
7.5,1.968e+03,4.090e+01,3.835e+01,2.047e+03
9.0,2.597e+03,4.087e+01,3.884e+01,2.677e+03
10.5,3.531e+03,4.241e+01,3.847e+01,3.612e+03
12.0,4.704e+03,4.244e+01,3.842e+01,4.785e+03
13.5,5.644e+03,4.086e+01,4.003e+01,5.725e+03
15.0,7.056e+03,4.981e+01,4.231e+01,7.148e+03
16.5,8.954e+03,5.504e+01,4.244e+01,9.052e+03
18.0,1.117e+04,4.925e+01,4.140e+01,1.126e+04
19.5,1.384e+04,4.460e+01,4.334e+01,1.393e+04
21.0,1.818e+04,4.741e+01,5.091e+01,1.828e+04
22.5,2.016e+04,6.336e+01,4.653e+01,2.027e+04
23.9,2.018e+04,7.452e+01,4.041e+01,2.029e+04
25.4,1.886e+04,5.480e+01,4.342e+01,1.896e+04
26.9,1.851e+04,4.686e+01,4.368e+01,1.861e+04
28.4,1.973e+04,5.005e+01,4.485e+01,1.982e+04
29.9,2.223e+04,5.441e+01,4.333e+01,2.233e+04
31.4,2.565e+04,5.406e+01,4.225e+01,2.574e+04
32.9,2.925e+04,4.605e+01,4.880e+01,2.934e+04
34.4,3.294e+04,5.511e+01,5.612e+01,3.305e+04
35.9,3.694e+04,1.034e+02,9.230e+01,3.714e+04
37.4,4.144e+04,1.492e+02,1.268e+02,4.171e+04
38.9,4.618e+04,1.747e+02,1.506e+02,4.651e+04
40.4,5.177e+04,1.917e+02,2.098e+02,5.217e+04
41.9,5.769e+04,2.519e+02,3.014e+02,5.824e+04
43.4,6.414e+04,3.464e+02,4.235e+02,6.491e+04
44.9,7.193e+04,4.676e+02,5.564e+02,7.295e+04
46.4,8.207e+04,5.874e+02,7.198e+02,8.338e+04
47.9,9.504e+04,6.717e+02,8.334e+02,9.655e+04
49.4,1.085e+05,8.590e+02,1.099e+03,1.104e+05
50.9,1.226e+05,1.209e+03,1.888e+03,1.257e+05
52.4,1.390e+05,1.514e+03,3.081e+03,1.436e+05
53.9,1.583e+05,1.683e+03,4.209e+03,1.642e+05
55.4,1.832e+05,1.865e+03,5.459e+03,1.905e+05
56.9,2.168e+05,2.164e+03,6.902e+03,2.259e+05
58.4,2.505e+05,2.921e+03,9.101e+03,2.625e+05
59.9,2.975e+05,4.932e+03,1.490e+04,3.174e+05
61.4,3.690e+05,1.054e+04,2.490e+04,4.045e+05
62.9,4.549e+05,1.528e+04,2.819e+04,4.984e+05
64.4,5.601e+05,1.400e+04,1.977e+04,5.939e+05
65.9,7.678e+05,1.178e+04,1.181e+04,7.914e+05
67.4,1.140e+06,1.020e+04,6.071e+03,1.156e+06
68.8,1.738e+06,8.143e+03,2.096e+03,1.748e+06
70.3,2.602e+06,7.220e+03,5.967e+02,2.610e+06
71.8,3.502e+06,7.060e+03,7.694e+02,3.510e+06
73.3,3.969e+06,6.388e+03,1.648e+03,3.977e+06
74.8,3.864e+06,5.945e+03,2.222e+03,3.872e+06
76.3,3.392e+06,4.993e+03,2.198e+03,3.399e+06
77.8,2.906e+06,4.196e+03,2.063e+03,2.912e+06
79.3,2.442e+06,3.547e+03,1.700e+03,2.447e+06
80.8,1.975e+06,2.614e+03,1.281e+03,1.979e+06
82.3,1.613e+06,1.580e+03,1.068e+03,1.616e+06
83.8,1.323e+06,8.038e+02,9.813e+02,1.325e+06
85.3,1.093e+06,3.885e+02,8.262e+02,1.094e+06
86.8,9.068e+05,3.304e+02,5.839e+02,9.077e+05
88.3,7.663e+05,4.472e+02,4.107e+02,7.672e+05
89.8,6.676e+05,6.534e+02,3.187e+02,6.686e+05
91.3,6.357e+05,8.022e+02,5.132e+02,6.370e+05
92.8,6.746e+05,8.193e+02,1.179e+03,6.766e+05
94.3,7.477e+05,6.346e+02,2.170e+03,7.505e+05
95.8,8.113e+05,4.440e+02,3.026e+03,8.148e+05
97.3,8.523e+05,3.473e+02,3.573e+03,8.562e+05
98.8,8.613e+05,3.286e+02,3.834e+03,8.655e+05
100.3,8.402e+05,3.593e+02,3.782e+03,8.443e+05
101.8,8.004e+05,4.303e+02,3.456e+03,8.043e+05
103.3,7.776e+05,5.504e+02,3.078e+03,7.812e+05
104.8,7.557e+05,6.365e+02,2.735e+03,7.591e+05
106.3,7.215e+05,5.936e+02,2.540e+03,7.246e+05
107.8,6.666e+05,5.397e+02,2.437e+03,6.695e+05
109.3,5.962e+05,4.749e+02,2.312e+03,5.989e+05
110.8,5.535e+05,4.679e+02,2.374e+03,5.563e+05
112.3,5.595e+05,5.462e+02,3.017e+03,5.630e+05
113.7,5.784e+05,6.208e+02,3.933e+03,5.829e+05
